道具ID,中文名,舊合成表,俄文名,英文名,品質,來源,可靠度,備註
I00D,珠寶匠工具組,,Набор ювелира,Jeweler's Kit,強化,C 我從俄文翻譯,低 — 沒有官方依據,
pclr,覺醒卷軸,觉醒卷轴,Свиток пробуждения,Scroll of Awakening,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
sksh,轉化卷軸,转化卷轴,Свиток преобразования,Scroll of Transmutation,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
phlt,光之環,,Световой обруч,Circlet of Light,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
gmfr,勇氣徽記,,Эмблема отваги,Emblem of Courage,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
thle,反射鎧甲,,Отражающий доспех,Reflecting Armor,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
dphe,天使之劍,,Меч ангела,Angel's Sword,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
sorf,太陽石,,Солнечный камень,Sunstone,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
glsk,治癒之球,,Сфера исцеления,Sphere of Healing,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
kymn,熾熱之刃,,Раскаленное лезвие,Scorching Blade,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
kybl,矮妖金幣,,Монетка лепрекона,Leprechaun's Coin,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
skrt,聖殿騎士之錘,,Молот храмовника,Templar's Hammer,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
k3m1,聖殿騎士吊墜,,Подвеска храмовника,Templar's Pendant,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
dthb,青銅之拳,,Бронзовый кулак,Bronze Fist,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
wtlg,飛行之靴,,Сапоги полёта,Boots of Flight,復活節,C 我從俄文翻譯,低 — 沒有官方依據,
mcri,傳送權杖,传送权杖,Изящный посох,Elegant Staff,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
pnvl,冥界之盾,冥界之盾,Щит загробника,Gravekeeper's Shield,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
pgin,奧術精華,奥术精华,Эссенция арканы,Arcane Essence,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
shas,專注之戒,专注之戒,Кольцо концентрации,Ring of Concentration,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
wneu,巨人頭盔,巨人头盔,Шлем исполина,Giant's Helm,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
spro,帝王之劍,帝王之剑,Меч Императора,Emperor's Sword,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
phea,干將,干将,Меч-кладенец,Kladenets Sword,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
tret,捕夢網,辉煌法杖,Ловец снов,Dreamcatcher,扭曲,B 我改了名字,中 — 有理由，但請確認,舊表兩件法杖共用「辉煌法杖」，這件是另一件
sneg,暗夜之刃,暗夜之刃,Теневое лезвие,Shadow Blade,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
ssan,榮譽頭盔,荣誉头盔,Шлем чести,Helm of Honor,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
hslv,熔岩之劍,熔岩之剑,Лавовый меч,Lava Sword,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
skul,爆裂之刃,爆裂之刃,Кацбальгер,Katzbalger,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
wneg,爆裂十字弩,爆裂十字弩,Арбалет-болтер,Bolter Crossbow,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
pinv,神祕之戒,神秘之戒,Мистическое кольцо,Mystic Ring,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
tsct,禁忌契約,禁忌契约,Запретный трактат,Forbidden Treatise,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
silk,紅寶石權杖,红宝石权杖,Рубиновый жезл,Ruby Wand,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
fwss,荊棘戒指,荆棘戒指,Кольцо шипов,Ring of Thorns,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
shdt,血獵狼爪,血猎狼爪,Коготь волкодава,Wolfhound's Claw,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
shea,裂隙權杖,扭曲权杖,Скипетр разлома,Scepter of the Rift,扭曲,B 我改了名字,中 — 有理由，但請確認,俄文名已從 Скипетр Искажения 改為 Скипетр разлома
sman,輝煌法杖,辉煌法杖,Сияющий посох,Radiant Staff,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
stwp,追暮之弓,追暮之弓,Лук сумеречного преследователя,Twilight Stalker's Bow,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
rnec,金色王冠,金色王冠,Золотая диадема,Golden Diadem,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
tgrh,間隔礫石,间隔砾石,Интервальный гравий,Interval Gravel,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
pman,雄獅鎧甲,雄狮铠甲,Львиный панцирь,Lion Cuirass,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
tcas,魔法齒輪,魔法齿轮,Волшебная шестеренка,Enchanted Gear,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
sor1,魔術師的面具,魔术师的面具,Маска фокусника,Illusionist's Mask,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
sreg,黑暗人參,黑暗人参,Густая Тьма,Thick Darkness,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
moon,黑暗水晶,黑暗水晶,Кристалл тьмы,Crystal of Darkness,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
vamp,龍之護符,龙之护符,Драконий оберег,Dragon Charm,扭曲,A 沿用舊合成表,高 — 玩家實際用的名字,
wild,劊子手的救贖,魔法金汤,Искупление палача,Executioner's Redemption,折射,B 我改了名字,中 — 有理由，但請確認,舊表兩件裝備共用「魔法金汤」，這件是另一件
infs,巫師之災,巫师之灾,Бич чародеев,Scourge of Sorcerers,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
wlsd,庇護者,庇护者,Заступник,Protector,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
pnvu,毀滅之錘,毁灭之锤,Молот разрушения,Hammer of Destruction,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
pomn,泰坦的復仇,泰坦的复仇,Возмездие титана,Titan's Vengeance,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
wcyc,深淵之盾,深渊之盾,Щит глубин,Shield of the Depths,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
fgsk,湛藍精華,湛蓝精华,Лазурный ихор,Azure Ichor,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
ankh,熾天使長矛,炽天使长矛,Копье серафима,Seraph's Spear,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
will,痛苦之鏡,痛苦之镜,Зеркало мучений,Mirror of Torment,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
rej3,碎界,碎界,Коллапс,Collapse,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
fgrg,裂魂之刃,裂魂之刃,Раскалыватель,Sunderer,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
hlst,銀器,银器,Сильвер,Silver,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
wshs,鋼鐵守護者,钢铁守护者,Железный страж,Iron Sentinel,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
wswd,鋼鐵守護者（啟動）,,Железный страж (активен),Iron Sentinel (active),折射,C 我從俄文翻譯,低 — 沒有官方依據,
whwd,靈丹妙藥,灵丹妙药,Панацея,Panacea,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
mnst,魔法小瓶,魔法小瓶,Пустой сосуд,Empty Vessel,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
woms,魔法金湯,魔法金汤,Магический тоник,Magic Tonic,折射,A 沿用舊合成表,高 — 玩家實際用的名字,
mort,冰晶石,,Криолит,Cryolite,新年,C 我從俄文翻譯,低 — 沒有官方依據,
kygh,凜冽之刃,,Хладный клинок,Chill Blade,新年,C 我從俄文翻譯,低 — 沒有官方依據,
engs,利維坦,,Левиафан,Leviathan,新年,C 我從俄文翻譯,低 — 沒有官方依據,
k3m3,嚴寒法杖,,Посох стужи,Staff of Frost,新年,C 我從俄文翻譯,低 — 沒有官方依據,
wolg,寒冬帷幕,,Зимний покров,Winter Shroud,新年,C 我從俄文翻譯,低 — 沒有官方依據,
gopr,寒冰之爪,,Ледяные когти,Ice Claws,新年,C 我從俄文翻譯,低 — 沒有官方依據,
shwd,寒冰鎧甲,,Ледяной доспех,Ice Armor,新年,C 我從俄文翻譯,低 — 沒有官方依據,
ktrm,極光,,Полярное сияние,Aurora,新年,C 我從俄文翻譯,低 — 沒有官方依據,
k3m2,液態冰,,Жидкий лёд,Liquid Ice,新年,C 我從俄文翻譯,低 — 沒有官方依據,
dkfw,豐饒之枝,,Ветвь благоденствия,Branch of Prosperity,新年,C 我從俄文翻譯,低 — 沒有官方依據,
ledg,雪花,,Снегоцвет,Snowbloom,新年,C 我從俄文翻譯,低 — 沒有官方依據,
mgtk,魔法松針,,Волшебная хвоя,Magic Needles,新年,C 我從俄文翻譯,低 — 沒有官方依據,
I005,力量戒指,力量戒指,Кольцо силы,Ring of Strength,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I01T,平紋褲,平纹裤,Простые штаны,Simple Trousers,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I00C,敏捷戒指,敏捷戒指,Кольцо ловкости,Ring of Agility,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I02J,普通手套,普通手套,Простые перчатки,Simple Gloves,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I013,普通靴子,,Простые сапоги,Simple Boots,普通,C 我從俄文翻譯,低 — 沒有官方依據,
I001,智力戒指,智力戒指,Кольцо разума,Ring of Intellect,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I00K,簡易斧頭,,Простой топор,Simple Axe,普通,C 我從俄文翻譯,低 — 沒有官方依據,
I01N,簡易盔甲,简易盔甲,Простой доспех,Simple Armor,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I01I,簡易短刀,,Простые ножи,Simple Knives,普通,C 我從俄文翻譯,低 — 沒有官方依據,
I00U,粗糙盾牌,粗糙盾牌,Простой щит,Simple Shield,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I018,粗糙項鍊,粗糙项链,Простое ожерелье,Simple Necklace,普通,A 沿用舊合成表,高 — 玩家實際用的名字,
I011,包裹,,Посылка,Parcel,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I080,地基 lv.1,,Фундамент ур. 1,Foundation lv.1,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I07Z,地基 lv.2,,Фундамент ур. 2,Foundation lv.2,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I09C,地基 lv.3,,Фундамент ур. 3,Foundation lv.3,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I09D,地基 lv.4,,Фундамент ур. 4,Foundation lv.4,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I09E,地基 lv.5,,Фундамент ур. 5,Foundation lv.5,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I012,大包裹,,Большая посылка,Large Parcel,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
texp,水晶碎片,,Хрустальный осколок,Crystal Shard,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I00H,法力藥水,,Зелье маны,Mana Potion,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
manh,海藍寶石（+50 HP）,,Аквамарин (+50 HP),Aquamarine (+50 HP),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I00G,生命藥水,,Зелье здоровья,Health Potion,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rhe1,相位石（+10 技能強度）,,Фазионит (+10 сила умений),Phasionite (+10 spell power),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rdis,相位石（+15 技能強度）,,Фазионит (+15 сила умений),Phasionite (+15 spell power),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rre1,相位石（+5 技能強度）,,Фазионит (+5 сила умений),Phasionite (+5 spell power),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I08M,禮物,,Подарок,Gift,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
tst2,紅色碎塊（+2 力量）,,Красный фрагмент (+2 сила),Red Fragment (+2 STR),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rwat,紅色碎屑（+3 力量）,,Красный обломок (+3 сила),Red Chunk (+3 STR),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
tstr,紅色碎片（+1 力量）,,Красный осколок (+1 сила),Red Shard (+1 STR),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rej6,經驗,,*Опыт*,Experience,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
tdx2,綠色碎塊（+2 敏捷）,,Зеленый фрагмент (+2 ловкость),Green Fragment (+2 AGI),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rspd,綠色碎屑（+3 敏捷）,,Зеленый обломок (+3 ловкость),Green Chunk (+3 AGI),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
tdex,綠色碎片（+1 敏捷）,,Зеленый осколок (+1 ловкость),Green Shard (+1 AGI),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
tin2,藍色碎塊（+2 智力）,,Синий фрагмент (+2 разум),Blue Fragment (+2 INT),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rspl,藍色碎屑（+3 智力）,,Синий обломок (+3 разум),Blue Chunk (+3 INT),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
tint,藍色碎片（+1 智力）,,Синий осколок (+1 разум),Blue Shard (+1 INT),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rman,金幣（+100）,,Золото (+100),Gold (+100),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rreb,金幣（+150）,,Золото (+150),Gold (+150),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rres,金幣（+35）,,Золото (+35),Gold (+35),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rsps,金幣（+50）,,Золото (+50),Gold (+50),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
rhe2,金幣（+75）,,Золото (+75),Gold (+75),消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I0AH,驚喜包,,Сюрприз,Surprise,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
I09U,魔法禮物,,Волшебный подарок,Magic Gift,消耗品／掉落物,C 我從俄文翻譯,低 — 沒有官方依據,
shen,劊子手面具,,Маска палача,Executioner's Mask,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
arsh,天使護符,,Амулет ангела,Angel's Amulet,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
oflg,奇術師法杖,,Посох кудесника,Enchanter's Staff,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
tlum,戰爭號角,,Рог войны,Horn of War,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
thdm,戰鬥軍旗,,Боевой штандарт,Battle Standard,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
kgal,抗魔手環,,Антимагические браслеты,Antimagic Bracers,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
schl,潛能覺醒,潜能觉醒,Раскрытый потенциал,Unlocked Potential,淬鍊,A 沿用舊合成表,高 — 玩家實際用的名字,
ocor,精金鶴嘴鎬,,Адамантовая кирка,Adamantite Pickaxe,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
envl,躍遷,,Варп,Warp,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
anfg,風暴權杖,,Скипетр бури,Scepter of Storms,淬鍊,C 我從俄文翻譯,低 — 沒有官方依據,
frgd,五行吊墜,五行吊坠,Подвеска защиты,Warding Pendant,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
nspi,亡者之劍,亡者之剑,Меч мертвеца,Deadman's Sword,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
srbd,侍僧披風,,Накидка адепта,Adept's Cloak,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
frhg,儀式匕首,仪式匕首,Ритуальный кинжал,Ritual Dagger,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
dust,儀式聖杯,仪式圣杯,Проклятая чаша,Cursed Chalice,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
rej4,刺刀,刺刀,Штык,Bayonet,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
scul,十字軍的護符,十字军的护符,Талисман крестоносца,Crusader's Talisman,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
lnrn,喬木之斧,乔木之斧,Заросший топор,Overgrown Axe,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
lure,回復之戒,,Кольцо регенерации,Ring of Regeneration,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
tgxp,奶酪,奶酪,Сыр,Cheese,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
rej5,念珠,念珠,Чётки,Prayer Beads,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
mlst,掠奪者之劍,掠夺者之剑,Меч разорителя,Ravager's Sword,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
rde0,提神藥劑,,Бодрящая настойка,Invigorating Tincture,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
rej1,旅人之靴,,Сапоги странника,Wanderer's Boots,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
drph,旅人披風,,Накидка странника,Wanderer's Cloak,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
stre,死靈法師之杖,,Жезл некроманта,Necromancer's Wand,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
crdt,決鬥者之書,,Книга дуэлянта,Duelist's Book,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
jdrn,沼澤法杖,,Посох болотника,Swamp Staff,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
rump,法師之戒,法师之戒,Кольцо мага,Mage's Ring,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
rugt,獵人皮襖,,Полушубок охотника,Hunter's Coat,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
rnsp,生鏽頭盔,生锈头盔,Ржавый шлем,Rusty Helmet,特殊（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
shrs,瘟疫之根,,Чумные корни,Plague Roots,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
klmm,皮革手套,,Кожаные перчатки,Leather Gloves,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
gvsm,石英法杖,魔石法杖,Жезл с кварцом,Quartz Wand,特殊（lv.1）,B 我改了名字,中 — 有理由，但請確認,俄文名已從 Жезл с зачарованным кварцом 改為 Жезл с кварцом
rej2,翡翠吊墜,,Кулон с изумрудом,Emerald Pendant,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
vddl,蠻族之盾,,Щит варвара,Barbarian Shield,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
tels,詛咒之金,,Проклятое золото,Cursed Gold,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
sfog,釘頭錘,,Булава,Mace,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
sprn,鍛造胸甲,,Кованый нагрудник,Forged Breastplate,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
oli2,附魔護符,,Заколдованный талисман,Enchanted Talisman,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
fgun,預言者寶珠,,Сфера предсказателя,Seer's Orb,特殊（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
I04H,信使涼鞋,,Сандалии гонца,Courier's Sandals,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I04D,儀式之書,,Книга о ритуалах,Book of Rituals,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I08F,利斧,利斧,Алебарда,Halberd,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I05Z,刺客之刺,刺客之刺,Жало убийцы,Assassin's Sting,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I073,力量吊墜,力量吊坠,Подвеска силы,Pendant of Strength,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
