id,base_id,type,name_clean,icon,icon_file,icon_png,gold_cost,level,class,tip,description
skrt,skrt,modified,Молот храмовника,BTNEasterItem4.blp,BTNEasterItem4.blp,icons_png/BTNEasterItem4.png,0,8,,|cFFFFB4B4Молот храмовника|r,"|cFFA085EDКласс: |r|cFFFFB4B4Пасхальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+30 силы, +30 атаки|r
|cFFA085EDСпособности: |r|cFFDF7AD8Увеличивает время возрождения героя на 40% (не суммируется)."
kybl,kybl,modified,Монетка лепрекона,BTNEasterItem5.blp,BTNEasterItem5.blp,icons_png/BTNEasterItem5.png,0,8,,|cFFFFB4B4Монетка лепрекона|r,"|cFFA085EDКласс: |r|cFFFFB4B4Пасхальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8-15% скорость передвижения и атаки, +150 ед. ежеминутный доход золота"
kymn,kymn,modified,Раскаленное лезвие,BTNEasterItem9.blp,BTNEasterItem9.blp,icons_png/BTNEasterItem9.png,0,8,,|cFFFFB4B4Раскаленное лезвие|r,"|cFFA085EDKлacc: |r|cFFFFB4B4Пacxaльный|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+15 aтaки, +30% cкopocть aтaки, +30% урон от поджога"
k3m1,k3m1,modified,Подвеска храмовника,BTNEasterItem1.blp,BTNEasterItem1.blp,icons_png/BTNEasterItem1.png,0,8,,|cFFFFB4B4Подвеска храмовника|r,"|cFFA085EDКласс: |r|cFFFFB4B4Пасхальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+125 HP, +125 MP, +1.5 HP regen, +1.5 MP regen, +75 сила умений|r
|cFFA085EDСпособности: |r|cFFDF7AD8Вражеская нежить наносит герою на 20% меньше урона от атак и умений."
wtlg,wtlg,modified,Сапоги полёта,BTNEasterItem8.blp,BTNEasterItem8.blp,icons_png/BTNEasterItem8.png,0,8,,|cFFFFB4B4Сапоги полёта|r,"|cFFA085EDКласс: |r|cFFFFB4B4Пасхальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+5 защиты|r
|cFFA085EDСпособности: |r|cFFDF7AD8Повышает скорость бега героя до максимального значения."
phlt,phlt,modified,Световой обруч,BTNEasterItem3.blp,BTNEasterItem3.blp,icons_png/BTNEasterItem3.png,0,8,,|cFFFFB4B4Световой обруч|r,"|cFFA085EDКласс: |r|cFFFFB4B4Пасхальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+10 разума, +5 защиты|r
|cFFA085EDСпособности: |r|cFFDF7AD8При использовании наносит врагам в области (100 + 50% сила умений) ед. урона и восстанавливает герою 20 HP и 10 MP за каждого пораженного юнита."
sorf,sorf,modified,Солнечный камень,BTNEasterItem2.blp,BTNEasterItem2.blp,icons_png/BTNEasterItem2.png,0,8,,|cFFFFB4B4Солнечный камень|r,"|cFFA085EDКласс: |r|cFFFFB4B4Пасхальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+300 HP, +5 HP regen, +50% защита от поджога, сопротивление поджогу"
gmfr,gmfr,modified,Эмблема отваги,BTNEasterItem6.blp,BTNEasterItem6.blp,icons_png/BTNEasterItem6.png,0,8,,|cFFFFB4B4Эмблема отваги|r,"|cFFA085EDКласс: |r|cFFFFB4B4Пасхальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+8 силы, +425 HP, сопротивление поджогу|r
|cFFA085EDСпособности: |r|cFFDF7AD8Снижает получаемый урон от героев на 40%, но повышает получаемый урон от остальных источников на 15%. Не действует на статусы. Дарует иммунитет к ответному урону."
jpnt,jpnt,modified,Камень душ,BTNHalloween3.blp,BTNHalloween3.blp,icons_png/BTNHalloween3.png,0,8,,|cFFAF0064Камень душ|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+5 HP regen, +10% пoлyчaeмый ypoн и нaнocимый ypoн oт aтaк и yмeний пpoтив гepoeв|r
|cFFA085EDMнoжитeль: |r|cFFDF7AD8Увeличивaeт cилy гepoя нa 33%. Эффeкт oбнoвляeтcя aвтoмaтичecки."
bzbf,bzbf,modified,Проклятия ведьмы,BTNHalloween8.blp,BTNHalloween8.blp,icons_png/BTNHalloween8.png,0,8,,|cFFAF0064Проклятия ведьмы|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+300 MP, +75 cилa yмeний, +20% ypoн от атак и умений пo нeжити|r
|cFFA085EDCпocoбнocти: |r|cFFDF7AD8Пpимeняeт эффeкт пpoклятия c 100% шaнcoм нa вpaгa, пpимeнившeгo пpoтив гepoя цeлeвoe зaклинaниe."
bzbe,bzbe,modified,Пожирающий щит,BTNHalloween9.blp,BTNHalloween9.blp,icons_png/BTNHalloween9.png,0,8,,|cFFAF0064Пожирающий щит|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+9 защиты, +50 сила умений, +5% защита от атак и умений|r
|cFFA085EDМодификатор: |r|cFFDF7AD8Пожирает по 15 ед. маны у атакующих героя врагов. После накопления 225 ед. маны выпускает 4 темные волны, наносящие по 80 ед. урона."
cnhn,cnhn,modified,Призрачный клинок,BTNHalloween5.blp,BTNHalloween5.blp,icons_png/BTNHalloween5.png,0,8,,|cFFAF0064Призрачный клинок|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+15 атаки, +15 силы, +5 ловкости|r
|cFFA085EDCпocoбнocти: |r|cFFDF7AD8Дарует атакам ближнего боя сплеш-эффект 6% по огромной области."
sclp,sclp,modified,Кровавая дань,BTNHalloween1.blp,BTNHalloween1.blp,icons_png/BTNHalloween1.png,0,8,,|cFFAF0064Кровавая дань|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+10 paзyм, +150 cилa yмeний, +30% ypoн oт aтaк и yмeний пpoтив вpaгoв 0-1 ypoвня|r
|cFFA085EDMoдификaтop: |r|cFFDF7AD8Пpи иcпoльзoвaнии yмeний нaнocит ceбe 30 eд. ypoнa и вoccтaнaвливaeт 30 eд. мaны."
azhr,azhr,modified,Дары ведьмы,BTNHalloween6.blp,BTNHalloween6.blp,icons_png/BTNHalloween6.png,0,8,,|cFFAF0064Дары ведьмы|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+5 all stats, +20% зaщитa (нe oт cтaтycoв) oт нeжити, coпpoтивлeниe пpoклятиям|r
|cFFA085EDCпocoбнocти: |r|cFFDF7AD8Гepoй нeyязвим к пocмepтным эффeктaм вpaгoв. Иccyшaeт 50 + (20% cилa yмeний) eд. мaны вpaгaм, пpимeнившим пpoтив гepoя цeлeвoe зaклинaниe."
sehr,sehr,modified,Сфера вампиризма,BTNHalloween4.blp,BTNHalloween4.blp,icons_png/BTNHalloween4.png,0,8,,|cFFAF0064Сфера вампиризма|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+13 main stat, -15% наносимый урон|r
|cFFA085EDCпocoбнocти: |r|cFFDF7AD8Атаки героя имеют эффект 33% вампиризм."
kysn,kysn,modified,Шепчущее щупальце,BTNHalloween2.blp,BTNHalloween2.blp,icons_png/BTNHalloween2.png,0,8,,|cFFAF0064Шепчущее щупальце|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+3 MP regen|r
|cFFA085EDMнoжитeль: |r|cFFDF7AD8Увеличивает запас маны на 50%. Эффект обновляется автоматически."
ches,ches,modified,Хватка ужаса,BTNHalloween7.blp,BTNHalloween7.blp,icons_png/BTNHalloween7.png,0,8,,|cFFAF0064Хватка ужаса|r,"|cFFA085EDKлacc: |r|cFFAF0064Xэллoyин|r

|cFFA085EDБoнycы: |r|cFFDF7AD8+20 атаки, +20% скорость атаки|r
|cFFA085EDCпocoбнocти: |r|cFFDF7AD8Замедляет скорость бега врагов в радиусе 500 на 20%. Враги под действием данной ауры получают на 10% больше урона от атак и умений."
spsh,spsh,modified,Зазубренный топор,BTNAxe2.blp,BTNAxe2.blp,icons_png/BTNAxe2.png,450,2,,|cFF00C850Зазубренный топор,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+16 atk|r
|cFFA085EDСпособности: |r|cFFDF7AD8Атаки в ближнем бою имеют сплеш-эффект 10% по области 150 ед."
pmna,pmna,modified,Заточенные ножи,BTNKnifes2.blp,BTNKnifes2.blp,icons_png/BTNKnifes2.png,450,2,,|cFF00C850Заточенные ножи,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+25% atk speed, +8 atk"
penr,penr,modified,Латный доспех,BTNBody2.blp,BTNBody2.blp,icons_png/BTNBody2.png,450,2,,|cFF00C850Латный доспех,"|cFFA085EDКласс: |r|cFF00C850Редкий

|cFFA085EDБонусы: |r|cFFDF7AD8+2 armor, +6 str|r
|cFFA085EDMoдификaтop: |r|cFFDF7AD8Paз в 4 ceк. гepoй нaнocит 70 eд. ypoнa вpaгy, aтaкoвaвшeгo гepoя."
ward,ward,modified,Магическое ожерелье,BTNNecklace2.blp,BTNNecklace2.blp,icons_png/BTNNecklace2.png,450,2,,|cFF00C850Магическое ожерелье,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+200 MP, +1.25 MP regen, +30 сила умений|r"
ratc,ratc,modified,Мощное кольцо ловкости,BTNAgiRing2.blp,BTNAgiRing2.blp,icons_png/BTNAgiRing2.png,450,2,,|cFF00C850Мощное кольцо ловкости,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+10 agi, +5 atk|r"
rat6,rat6,modified,Мощное кольцо разума,BTNIntRing2.blp,BTNIntRing2.blp,icons_png/BTNIntRing2.png,450,,,|cFF00C850Мощное кольцо разума,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+10 int, +1.5 MP regen|r"
rat9,rat9,modified,Мощное кольцо силы,BTNStrRing2.blp,BTNStrRing2.blp,icons_png/BTNStrRing2.png,450,2,,|cFF00C850Мощное кольцо силы,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+10 str, +2 HP regen|r"
cnob,cnob,modified,Прочный щит,ReplaceableTextures\CommandButtons\BTNThoriumArmor.blp,,,450,,,|cFF00C850Прочный щит,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+5 armor, +125 HP, +5 ответный урон, +6% защита от статусов"
rhth,rhth,modified,Сапоги солдата,BTNBoots2.blp,BTNBoots2.blp,icons_png/BTNBoots2.png,450,2,,|cFF00C850Сапоги солдата,"|cFFA085EDКласс: |r|cFF00C850Редкий|r

|cFFA085EDБонусы: |r|cFFDF7AD8+70 move speed, +2 all stats, +15% защита от статусов"
hcun,hcun,modified,Штаны адепта,BTNPants2.blp,BTNPants2.blp,icons_png/BTNPants2.png,450,2,,|cFF00C850Штаны адепта,"|cFFA085EDКласс: |r|cFF00C850Редкий

|cFFA085EDБонусы: |r|cFFDF7AD8+2 armor, +6 int|r
|cFFA085EDМодификатор: |r|cFFDF7AD8Применение умений восстанавливает герою 40 ед. маны. Перезарядка - 10 сек."
dsum,dsum,modified,Укрепленные перчатки,BTNGloves2.blp,BTNGloves2.blp,icons_png/BTNGloves2.png,450,2,,|cFF00C850Укрепленные перчатки,"|cFFA085EDКласс: |r|cFF00C850Редкий

|cFFA085EDБонусы: |r|cFFDF7AD8+2 armor, +6 agi|r
|cFFA085EDМодификатор: |r|cFFDF7AD8Атака героя наносит дополнительно 75 ед. маг. урона противнику. Перезарядка - 4 сек."
belv,belv,modified,Безупречное кольцо ловкости,BTNAgiRing3.blp,BTNAgiRing3.blp,icons_png/BTNAgiRing3.png,950,2,,|cFF07EDE6Безупречное кольцо ловкости,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+20 agi, +10 atk|r"
rde1,rde1,modified,Безупречное кольцо разума,BTNIntRing3.blp,BTNIntRing3.blp,icons_png/BTNIntRing3.png,950,,,|cFF07EDE6Безупречное кольцо разума,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+20 int, +3 MP regen|r"
rde2,rde2,modified,Безупречное кольцо силы,BTNStrRing3.blp,BTNStrRing3.blp,icons_png/BTNStrRing3.png,950,2,,|cFF07EDE6Безупречное кольцо силы,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+20 str, +4 HP regen|r"
rde3,rde3,modified,Боевой топор гвардейца,BTNAxe3.blp,BTNAxe3.blp,icons_png/BTNAxe3.png,950,2,,|cFF07EDE6Боевой топор гвардейца,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+5 str, +20 atk|r
|cFFA085EDСпособности: |r|cFFDF7AD8Атаки в ближнем бою имеют сплеш-эффект 17% по области 225 ед."
rlif,rlif,modified,Доспех гвардейца,BTNBody3.blp,BTNBody3.blp,icons_png/BTNBody3.png,950,2,,|cFF07EDE6Доспех гвардейца,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+6 armor, +10 str, +10% защита от атак и умений героев|r
|cFFA085EDMoдификaтop: |r|cFFDF7AD8Paз в 4 ceк. гepoй нaнocит 100 eд. ypoнa вpaгy, aтaкoвaвшeгo гepoя."
sbch,sbch,modified,Перчатки гвардейца,BTNGloves3.blp,BTNGloves3.blp,icons_png/BTNGloves3.png,950,2,,|cFF07EDE6Перчатки гвардейца,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+6 armor, +10 agi, +20% atk speed|r
|cFFA085EDМодификатор: |r|cFFDF7AD8Атака героя наносит дополнительно 100 ед. маг. урона противнику. Перезарядка - 4 сек."
rin1,rin1,modified,Мифриловые ножи,BTNKnifes3.blp,BTNKnifes3.blp,icons_png/BTNKnifes3.png,950,2,,|cFF07EDE6Мифриловые ножи,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+40% atk speed, +15 atk"
rwiz,rwiz,modified,Ожерелье заклинателя,BTNNecklace3.blp,BTNNecklace3.blp,icons_png/BTNNecklace3.png,950,2,,|cFF07EDE6Ожерелье заклинателя,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+300 MP, +2.5 MP regen, +75 сила умений|r"
mcou,mcou,modified,Сапоги гвардейца,BTNBoots3.blp,BTNBoots3.blp,icons_png/BTNBoots3.png,950,2,,|cFF07EDE6Сапоги гвардейца,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+90 move speed, +5 all stats, +20% защита от статусов"
clfm,clfm,modified,Штаны чародея,BTNPants3.blp,BTNPants3.blp,icons_png/BTNPants3.png,950,2,,|cFF07EDE6Штаны чародея,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+6 armor, +10 int, +50 сила умений|r
|cFFA085EDМодификатор: |r|cFFDF7AD8Применение умений восстанавливает герою 60 ед. маны. Перезарядка - 10 сек."
ciri,ciri,modified,Щит ветерана,ReplaceableTextures\CommandButtons\BTNArcaniteArmor.blp,,,950,2,,|cFF07EDE6Щит ветерана,"|cFFA085EDКласс: |r|cFF07EDE6Уникальный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+7 armor, +200 HP, +10 ответный урон, +5% защита не от статусов, +8% защита от статусов"
gcel,gcel,modified,Демонические ножи,BTNKnifes4.blp,BTNKnifes4.blp,icons_png/BTNKnifes4.png,1950,,,|cFFFFDC00Демонические ножи,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+40% atk speed, +30 atk|r
|cFFA085EDСпособности: |r|cFFDF7AD815% шанс нанести x2.3 урон при атаке."
clsd,clsd,modified,Доспех чемпиона,BTNBody4.blp,BTNBody4.blp,icons_png/BTNBody4.png,1950,2,,|cFFFFDC00Доспех чемпиона,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный

|cFFA085EDБонусы: |r|cFFDF7AD8+8 armor, +15 str, +15% защита от атак и умений героев|r
|cFFA085EDMoдификaтop: |r|cFFDF7AD8Paз в 4 ceк. гepoй нaнocит (250% cилa) eд. ypoнa вpaгy, aтaкoвaвшeгo гepoя."
ssil,ssil,modified,Идеальные сапоги,BTNBoots4.blp,BTNBoots4.blp,icons_png/BTNBoots4.png,1950,2,,|cFFFFDC00Идеальные сапоги,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+110 move speed, +7 all stats, +100 сила умений, +25% защита от статусов"
stel,stel,modified,Кольцо Артемиды,BTNAgiRing4.blp,BTNAgiRing4.blp,icons_png/BTNAgiRing4.png,1950,,,|cFFFFDC00Кольцо Артемиды,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+30 agi, +15 atk, +15 пробитие"
bgst,bgst,modified,Кольцо Геракла,BTNStrRing4.blp,BTNStrRing4.blp,icons_png/BTNStrRing4.png,1950,2,,|cFFFFDC00Кольцо Геракла,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+30 str, +6 HP regen, +18% урон не от статусов по врагам не-героям"
lhst,lhst,modified,Кольцо Фемиды,BTNIntRing4.blp,BTNIntRing4.blp,icons_png/BTNIntRing4.png,1950,2,,|cFFFFDC00Кольцо Фемиды,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+30 int, +4.5 MP regen, +9% наносимый урон не от статусов"
rst1,rst1,modified,Ожерелье магистра,BTNNecklace4.blp,BTNNecklace4.blp,icons_png/BTNNecklace4.png,1950,2,,|cFFFFDC00Ожерелье магистра,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+500 MP, +5 MP regen, +100 сила умений|r"
brac,brac,modified,Перчатки чемпиона,BTNGloves4.blp,BTNGloves4.blp,icons_png/BTNGloves4.png,1950,2,,|cFFFFDC00Перчатки чемпиона,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный

|cFFA085EDБонусы: |r|cFFDF7AD8+8 armor, +15 agi, +30% atk speed|r
|cFFA085EDМодификатор: |r|cFFDF7AD8Атака героя наносит дополнительно (250% ловкость) маг. урона противнику. Перезарядка - 4 сек."
bspd,bspd,modified,Топор чемпиона,BTNAxe4.blp,BTNAxe4.blp,icons_png/BTNAxe4.png,1950,,,|cFFFFDC00Топор чемпиона,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+40 atk, +10 str|r
|cFFA085EDСпособности: |r|cFFDF7AD8Атаки в ближнем бою имеют сплеш-эффект 25% по области 300 ед."
odef,odef,modified,Штаны архимага,BTNPants4.blp,BTNPants4.blp,icons_png/BTNPants4.png,1950,2,,|cFFFFDC00Штаны архимага,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный

|cFFA085EDБонусы: |r|cFFDF7AD8+8 armor, +15 int, +150 сила умений|r
|cFFA085EDМодификатор: |r|cFFDF7AD8Применение умений восстанавливает герою (150% разум) ед. маны. Перезарядка - 10 сек."
evtl,evtl,modified,Щит чемпиона,BTNShield4.blp,BTNShield4.blp,icons_png/BTNShield4.png,1950,2,,|cFFFFDC00Щит чемпиона,"|cFFA085EDКласс: |r|cFFFFDC00Легендарный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+10 armor, +400 HP, +15 ответный урон, +8% защита не от статусов, +10% защита от статусов"
amrc,amrc,modified,Амулет надежды,BTNSaveNecklace.blp,BTNSaveNecklace.blp,icons_png/BTNSaveNecklace.png,,3,,|cFF327DC8Амулет надежды|r (|cffffcc00S|r),"|cFFA085EDКласс: |r|cFF327DC8Дополнительный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+1 защиты|r
|cFFA085EDСпособности: |r|cFFDF7AD8Делает героя неуязвимым на 5 сек. Перезарядка - 22 сек."
pams,pams,modified,Омолаживающая вытяжка,BTNPotion4.blp,BTNPotion4.blp,icons_png/BTNPotion4.png,2000,1,Purchasable,|cFFFFFF00Омолаживающая вытяжка,"|cFFA085EDКласс: |r|cFFFFFF00Coвepшeнный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+5 HP regen, +2.5 MP regen|r
|cFFA085EDСпособности: |r|cFFDF7AD8При использовании восстанавливает 400 HP и 200 MP."
arsh,arsh,modified,Амулет ангела,BTNSaveAmulet3.blp,BTNSaveAmulet3.blp,icons_png/BTNSaveAmulet3.png,1000,3,,|cFF50B4C8Амулет ангела,"|cFFA085EDКласс: |r|cFF50B4C8Закаленный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+5 защиты, +250 HP, +50 сила умений|r
|cFFA085EDСпособности: |r|cFFDF7AD8Делает героя неуязвимым на 8 сек. Перезарядка - 20 сек."
stwa,stwa,modified,Рунные браслеты,ReplaceableTextures\CommandButtons\BTNRunedBracers.blp,,,250,3,,|cFF327DC8Рунные браслеты|r (|cffffcc00E|r),"|cFFA085EDКласс: |r|cFF327DC8Дополнительный|r

|cFFA085EDБонусы: |r|cFFDF7AD8+50 HP|r
|cFFA085EDСпособности: |r|cFFDF7AD830% защита от маг. урона"
